county_name,latitude,longitude
Kings,36.072478000000004,-119.8155301
San Benito,36.611650700000006,-121.0858108
Fresno,36.7610058,-119.65501929999999
Plumas,39.992295299999995,-120.8243709
Inyo,36.561977,-117.4039269
Contra Costa,37.919478999999995,-121.95154309999998
Alpine,38.6217831,-119.79835220000001
Humboldt,40.7066554,-123.9261757
Sutter,39.036189799999995,-121.7039397
Stanislaus,37.5623162,-121.0028311
Marin,38.0518169,-122.74597379999999
Shasta,40.7605142,-122.04355559999999
Alameda,37.647138500000004,-121.91248799999998
Lassen,40.7210862,-120.62995179999999
San Joaquin,37.9349815,-121.272244
Imperial,33.0408143,-115.3554001
Lake,39.0948019,-122.74675690000001
Riverside,33.7298275,-116.0022389
San Mateo,37.414672499999995,-122.3715457
Mendocino,39.4323876,-123.4428811
San Francisco,37.7272391,-123.0322294
Tuolumne,38.0214344,-119.9647335
El Dorado,38.7856116,-120.53422450000001
Glenn,39.602546200000006,-122.40169979999999
Napa,38.5070999,-122.3259045
Solano,38.2672255,-121.939594
Butte,39.6659588,-121.6019188
Kern,35.3466288,-118.7295064
Santa Barbara,34.53705720000001,-120.03997290000001
Sonoma,38.5251824,-122.9261095
Yolo,38.679595500000005,-121.90244129999999
Tehama,40.126157299999996,-122.2322737
Santa Cruz,37.012488299999994,-122.007205
Mono,37.915836299999995,-118.8751668
San Diego,33.0236041,-116.77611740000002
Orange,33.675687200000006,-117.7772068
Placer,39.0620323,-120.72271809999998
Los Angeles,34.1963983,-118.26186159999999
Del Norte,41.763958,-124.00361399999998
Modoc,41.5929185,-120.71837040000001
Tulare,36.2288339,-118.7810551
Siskiyou,41.5879861,-122.5332868
Trinity,40.6478033,-123.114476
Nevada,39.2975082,-120.7713429
Monterey,36.240107,-121.3155723
Santa Clara,37.2206954,-121.6905097
San Luis Obispo,35.3852242,-120.4475445
Sierra,39.576925200000005,-120.5219926
Madera,37.2098213,-119.7498023
Ventura,34.3587415,-119.1331432
Mariposa,37.5700295,-119.91286129999999
San Bernardino,34.857219799999996,-116.1811967
Yuba,39.27013,-121.34425870000001
Merced,37.194806299999996,-120.72280190000001
Sacramento,38.4500161,-121.34044080000001
Calaveras,38.183899600000004,-120.5614415
Colusa,39.177738500000004,-122.2375629
Amador,38.443550099999996,-120.65385630000002
